category,question,option1,option2,option3,option4,answer,difficult
IoT Security,What is the primary purpose of Bluetooth LE Sec?,Bluetooth Low-Energy safety,Analyzing smartphones/tablets,Same key to encrypt/decrypt,Infrastructure as a Service,Bluetooth Low-Energy safety,medium
IoT Security,What is the primary purpose of TLS on IoT?,Encrypting IoT comms,Patching device software,Predictable random numbers,Identifying abnormal behavior,Encrypting IoT comms,medium
IoT Security,What does OWASP IoT 10 stand for?,Infrastructure as a Service,Inspecting file metadata,Top 10 IoT vulnerabilities,Synthetic media deception,Top 10 IoT vulnerabilities,medium
IoT Security,What is the primary purpose of Physical Tampering?,Filters network traffic based on rules,Certificate Revocation List,Protecting device access,Fake threat pop-ups,Protecting device access,medium
IoT Security,What is the primary purpose of Side-Channel Attack?,Extracting keys via leaks,Infrastructure as a Service,Changes code to evade detection,Dividing network into zones,Extracting keys via leaks,medium
IoT Security,What is the primary purpose of Supply Chain Sec?,Tracing email origins,Multi-Factor Authentication,Packet capture and analysis tool,Securing components,Securing components,medium
IoT Security,What is the primary purpose of Sensor Spoofing?,Auth token for sessions,Authorization framework,Reviewing system logs,Faking sensor data,Faking sensor data,medium
IoT Security,What is the primary purpose of Data Encryption?,Conditional malicious code,Division of security duties,Network of compromised machines,Encrypting IoT data,Encrypting IoT data,medium
IoT Security,What is the primary purpose of Anomaly Detection?,Extracting user and resource info,"Small, modular services",Capturing network traffic,Identifying abnormal behavior,Identifying abnormal behavior,medium
IoT Security,What is the primary purpose of RTOS Security?,Same key to encrypt/decrypt,Protecting real-time OS,Matching file headers,Offering service for info,Protecting real-time OS,medium
IoT Security,What is the primary purpose of Memory Protection?,Separating memory spaces,Synthetic media deception,Following authorized users,Time-based access,Separating memory spaces,medium
IoT Security,What is the primary purpose of Firmware Signing?,Resolves domain names to IPs,Analyzing RAM contents,Tampering log entries,Digitally signing firmware,Digitally signing firmware,medium
IoT Security,What is the primary purpose of Secure Provisioning?,Highly customized scenario,Secure file copy over SSH,Maps data to fixed length digest,Safe device onboarding,Safe device onboarding,medium
IoT Security,What is the primary purpose of OTA Updates?,Pulling useful data snippets,Over-the-air patching,Certificate Revocation List,Fingerprint or retina scan,Over-the-air patching,medium
IoT Security,What is the primary purpose of Certificate Pinning?,Locking server certs,Verifying device identity,Handling cloud credentials,Documenting evidence handling,Locking server certs,medium
IoT Security,What is the primary purpose of Remote Attestation?,Tampering log entries,Simple Network Management Protocol,Inject code via heap,Verifying device state,Verifying device state,medium
Software Vulnerabilities,What is the primary purpose of Buffer Overflow?,Verbose debugging left on,Exceeds memory buffer,Timing-based flaw,Faking sensor data,Exceeds memory buffer,medium
Software Vulnerabilities,What is the primary purpose of SQL Injection?,Transport Layer Security,Inject code via heap,Injecting SQL commands,Encrypting IoT data,Injecting SQL commands,medium
Software Vulnerabilities,What does XSS stand for?,Injecting SQL commands,Cross-Site Scripting,Locking server certs,Investigating file slack,Cross-Site Scripting,medium
Software Vulnerabilities,What does CSRF stand for?,Cross-Site Request Forgery,Tricking users to reveal data,Alters code on each infection,Windows policy management,Cross-Site Request Forgery,medium
Software Vulnerabilities,What is the primary purpose of Directory Traversal?,Encrypts files for ransom,Translates private IPs to public IPs,Accessing restricted files,Data Loss Prevention,Accessing restricted files,medium
Software Vulnerabilities,What is the primary purpose of Deserialization?,Resolves domain names to IPs,Inventing fake scenarios,Verifying data integrity,Untrusted object replay,Untrusted object replay,medium
Software Vulnerabilities,What is the primary purpose of Command Injection?,Port scanning tool,OS command execution,Resolves domain names to IPs,Unsafe library calls,OS command execution,medium
Software Vulnerabilities,What is the primary purpose of Race Condition?,Timing-based flaw,“Everyone’s doing it”),Open-source intelligence gathering,Records keystrokes,Timing-based flaw,medium
Software Vulnerabilities,What is the primary purpose of Integer Overflow?,Encrypting IoT data,Fake threat pop-ups,Authenticates message origin,Exceeds integer limits,Exceeds integer limits,medium
Software Vulnerabilities,What is the primary purpose of Path Traversal?,Following authorized users,File path manipulation,Safe device onboarding,Encrypts data bit-by-bit,File path manipulation,medium
Software Vulnerabilities,What is the primary purpose of Header Injection?,Protecting stored data,Email-based data theft,Securing components,HTTP header tampering,HTTP header tampering,medium
Software Vulnerabilities,What is the primary purpose of Open Redirect?,Cross-Site Request Forgery,Investigating cloud artifacts,Dissecting malware code,Unvalidated redirects,Unvalidated redirects,medium
Software Vulnerabilities,What is the primary purpose of Insecure Function?,Identity and Access Management,Unsafe library calls,Giving to get,Breaking or analyzing ciphers,Unsafe library calls,medium
Software Vulnerabilities,What is the primary purpose of Memory Leak?,Simple Network Management Protocol,Triggers malicious action on condition,Synthetic media deception,Unreleased memory,Unreleased memory,medium
Software Vulnerabilities,What is the primary purpose of Format String?,Address Resolution Protocol,Uncontrolled printf formats,Permanently deletes data,Conditional malicious code,Uncontrolled printf formats,medium
Software Vulnerabilities,What is the primary purpose of Heap Spray?,Securing IoT messaging protocol,Posing as someone else,Inject code via heap,Cloud network segment,Inject code via heap,medium
Software Vulnerabilities,What is the primary purpose of Script Inclusion?,Mining public profiles,Verifying device state,Loading remote scripts,Friendly approach,Loading remote scripts,medium
Software Vulnerabilities,What does SSRF stand for?,Searching trash for data,Windows policy management,Server-Side Request Forgery,Unreleased memory,Server-Side Request Forgery,medium
Software Vulnerabilities,What is the primary purpose of Clickjacking?,Safe device onboarding,Regular key turnover,Injecting SQL commands,UI redressing attack,UI redressing attack,medium
Software Vulnerabilities,What is the primary purpose of CORS Misconfig?,Highly customized scenario,Triggering feelings,Untrusted object replay,Cross-origin missetup,Cross-origin missetup,medium
Software Vulnerabilities,What is the primary purpose of Default Password?,Access Control List for filtering,Pulling useful data snippets,Unchanged credentials,Web Application Firewall,Unchanged credentials,medium
Software Vulnerabilities,What is the primary purpose of Debug Mode?,Rules for passwords,Multi-Factor Authentication,Over-the-air patching,Verbose debugging left on,Verbose debugging left on,medium
Software Vulnerabilities,What is the primary purpose of Log Injection?,Server-Side Request Forgery,Reducing identified risks,Exploitation framework,Tampering log entries,Tampering log entries,medium
Software Vulnerabilities,What is the primary purpose of Weak RNG?,Platform as a Service,Encrypts data bit-by-bit,Predictable random numbers,Reconstructing event order,Predictable random numbers,medium
Software Vulnerabilities,What is the primary purpose of Env Variable Leak?,Over-the-air patching,Assigns dynamic IP addresses,Stolen server config,Offering false incentives,Stolen server config,medium
Access Control,What does RBAC stand for?,Faking sensor data,Securing Zigbee traffic,Role-Based Access Control,Authorization framework,Role-Based Access Control,medium
Access Control,What does ABAC stand for?,Weak out-of-box passwords,Attribute-Based Access Control,Displays unwanted advertisements,Authenticates message origin,Attribute-Based Access Control,medium
Access Control,What does MAC stand for?,Mandatory Access Control,Timing-based flaw,Constrained Application Protocol,Urgent deadlines,Mandatory Access Control,medium
Access Control,What does DAC stand for?,Alters code on each infection,Discretionary Access Control,Testing memory boundaries,Infects device firmware,Discretionary Access Control,medium
Access Control,What is the primary purpose of Least Privilege?,Digitally signing firmware,Minimal permission principle,Secret key kept by owner,Observing keystrokes,Minimal permission principle,medium
Access Control,What is the primary purpose of SoD?,Software as a Service,Segregation of Duties,Encrypting IoT data,Encrypts files for ransom,Segregation of Duties,medium
Access Control,What does MFA stand for?,Time-based access,Assessing Wi-Fi security,Multi-Factor Authentication,Inventing fake scenarios,Multi-Factor Authentication,medium
Access Control,What does SSO stand for?,Single Sign-On,Over-the-air patching,Unvalidated redirects,Verifying device state,Single Sign-On,medium
Access Control,What is the primary purpose of OAuth?,Transport Layer Security,Auth token for sessions,Authorization framework,Securing cloud APIs,Authorization framework,medium
Access Control,What does LDAP stand for?,Verifying device state,Directory access protocol,Reviewing system logs,Maps data to fixed length digest,Directory access protocol,medium
Access Control,What does SAML stand for?,Security Assertion Markup Lang,Restoring erased data,Resolves domain names to IPs,Offering service for info,Security Assertion Markup Lang,medium
Access Control,What is the primary purpose of Kerberos?,Prevents disk modifications,Ticket-based authentication,Hex-level registry files,Conditional malicious code,Ticket-based authentication,medium
Access Control,What does ACL stand for?,Access Control List,Exploiting mental shortcuts,Open-source intelligence gathering,Installs other malware,Access Control List,medium
Access Control,What is the primary purpose of Group Policy?,Same key to encrypt/decrypt,Public Key Infrastructure,Windows policy management,Exploitation framework,Windows policy management,medium
Access Control,What is the primary purpose of Access Token?,Using relationships,Encrypts data bit-by-bit,Auth token for sessions,Documenting findings,Auth token for sessions,medium
Access Control,What is the primary purpose of Session Timeout?,Auto-logout timer,Unvalidated redirects,Ticket-based authentication,Mapping Wi-Fi networks,Auto-logout timer,medium
Access Control,What is the primary purpose of Time-of-Day Restriction?,Time-based access,Changes code to evade detection,Web Application Firewall,Standalone self-replicating malware,Time-based access,medium
Access Control,What is the primary purpose of Geofencing?,Safe device onboarding,Packet capture and analysis tool,Location-based control,Directory access protocol,Location-based control,medium
Access Control,What is the primary purpose of Context-Based?,Adaptive access decisions,Probing targets for open ports,Unreleased memory,Over-the-air patching,Adaptive access decisions,medium
Access Control,What does PAM stand for?,Privileged Access Management,Auth token for sessions,Identifying abnormal behavior,Restoring erased data,Privileged Access Management,medium
Access Control,What is the primary purpose of Password Policy?,Collecting data from running systems,Separating memory spaces,Mandatory Access Control,Rules for passwords,Rules for passwords,medium
Access Control,What is the primary purpose of Account Lockout?,Reviewing system logs,Thwart brute-force attempts,Intrusion Detection System,Pretty Good Privacy,Thwart brute-force attempts,medium
Access Control,What is the primary purpose of Biometrics?,Virtual firewall rules,Random input vulnerability test,Simulated phishing attack,Fingerprint or retina scan,Fingerprint or retina scan,medium
Access Control,What is the primary purpose of Certificate Auth?,X.509 certificate login,Rivest–Shamir–Adleman algorithm,Negotiates encryption parameters,Open-source intelligence gathering,X.509 certificate login,medium
Access Control,What is the primary purpose of Delegated Access?,Protecting edge devices,Spreads via document macros,Temporary elevated rights,Triggering feelings,Temporary elevated rights,medium
